"count"	"b2a"	"b2b"
789	1.248811	1.243232
790	1.127617	1.180648
791	1.077561	0.864283
792	1.103161	1.338759
793	0.990515	1.146068
794	1.146918	1.129635
795	0.835375	1.05697
796	0.966104	0.974255
797	1.062141	0.950401
798	0.965202	1.07907
799	0.79409	0.976215
800	1.179035	0.96704
801	1.20931	1.012964
802	1.076346	0.974768
803	1.193941	1.109868
804	1.022012	0.969076
805	0.928632	1.193262
806	1.109579	1.014398
807	1.019922	1.072331
808	0.691897	1.197803
809	1.151283	1.133779
810	0.895477	0.892307
811	1.152864	0.947502
812	0.876315	1.038584
813	1.253275	1.091061
814	1.346104	0.76766
815	0.83501	0.786302
816	1.030161	1.161076
817	0.851666	1.163329
818	1.139438	1.173997
819	0.931528	0.884359
820	1.028706	0.886011
821	1.014522	1.040821
822	1.02012	1.131108
823	1.108877	1.005298
824	1.215603	0.93733
825	1.129445	1.004453
826	1.023364	1.122971
827	1.128577	1.174635
828	1.063029	0.81715
829	1.015102	1.119263
830	1.020119	0.951225
831	1.002424	1.050894
832	1.010668	0.977454
833	1.09578	0.975692
834	1.013093	1.277707
835	0.984453	1.133181
836	1.030379	1.320399
837	1.032644	0.894205
838	1.070809	0.782071
839	0.917952	0.917807
840	0.833298	1.076055
841	1.016561	1.094593
842	1.005811	1.289887
843	0.905147	1.150556
844	1.07351	1.009114
845	0.976985	1.084516
846	1.006093	1.069842
847	0.966018	0.774963
848	1.096449	1.107573
849	0.946172	0.891431
850	1.040111	1.050052
851	1.223958	1.04561
852	1.189004	1.130388
853	1.240986	0.89285
854	1.30719	1.071211
855	0.789038	1.096387
856	1.103366	1.061543
857	0.928473	0.901267
858	0.868895	0.959206
859	0.877987	1.009984
860	0.996744	1.07864
861	1.089142	1.116164
862	1.070654	1.034449
863	0.880135	1.02576
864	1.243519	0.989819
865	0.792566	1.018404
866	0.965421	0.997023
867	0.785107	1.030992
868	0.855364	1.021525
869	0.861132	0.760055
870	1.225378	1.130895
871	0.855969	1.051049
872	0.973809	1.118443
873	1.22552	0.811819
874	1.082046	1.16943
875	1.029147	0.880409
876	1.017289	0.907287
877	1.178341	1.247244
878	1.321656	1.036152
879	1.095213	0.982625
880	0.962876	1.103947
881	1.103399	0.857335
882	1.060433	0.80394
883	0.890693	0.968826
884	1.106306	1.107515
885	0.891009	0.803042
886	0.902463	1.162613
887	1.085514	1.124826
888	0.873359	0.907192
889	1.026636	0.890749
890	1.072282	0.872443
891	0.718922	1.19628
892	1.368556	0.915595
893	1.117461	0.901118
894	1.176737	1.117343
895	1.109235	1.036562
896	0.705365	1.041213
897	1.248945	0.983746
898	0.951954	1.111795
899	1.027822	0.920304
900	1.112063	1.374574
901	0.878537	0.993073
902	1.010094	1.078109
903	1.002107	0.999776
904	0.968205	0.839411
905	1.150982	1.033177
906	0.81956	1.109559
907	1.026448	0.98317
908	1.02659	0.937463
909	0.967555	1.01152
910	0.955451	0.916517
911	0.987631	0.948166
912	1.08809	1.34586
913	1.190553	1.067923
914	1.106687	0.971145
915	0.961421	0.803252
916	0.804326	0.982495
917	1.193776	0.984835
918	1.092236	0.8739
919	0.984582	0.934421
920	1.012376	0.959185
921	1.012651	1.429154
922	0.914331	1.147483
923	0.844211	0.985258
924	0.830542	1.13197
925	0.844196	0.870812
926	1.111623	1.014389
927	0.956199	0.629642
928	0.979871	0.847572
929	1.191238	0.920933
930	0.859549	0.814859
931	0.929871	1.256072
932	0.938098	0.93767
933	0.917115	0.828834
934	0.969044	1.416533
935	0.959047	0.935704
936	1.004169	1.222499
937	1.015604	1.096042
938	1.147409	0.972751
939	1.212042	0.724029
940	1.225286	0.903472
941	0.94502	0.841934
942	1.201362	1.152305
943	0.829632	0.837199
944	1.178277	1.085559
945	1.102972	0.917139
946	1.063985	0.893818
947	1.196422	0.901693
948	1.070996	1.151917
949	1.111814	0.747164
950	1.096236	0.698742
951	1.126369	0.901769
952	0.974249	1.060852
953	0.943727	0.822722
954	1.102301	1.086093
955	1.015535	1.354544
956	0.837609	1.170218
957	1.215504	0.994777
958	1.181914	1.093258
959	1.154627	0.873256
960	1.013955	1.023953
961	1.143894	1.05433
962	1.174883	1.058705
963	0.894815	1.205075
964	1.01632	0.932548
965	1.151759	1.149801
966	1.075908	1.203139
967	0.889032	1.338747
968	0.872876	0.839461
969	1.067276	1.638316
970	0.958839	0.984432
971	1.026927	0.807346
972	0.910336	1.010632
973	1.031631	0.913106
974	1.132447	0.980159
975	1.08997	1.253779
976	0.956875	1.339267
977	1.093247	0.857474
978	1.289624	1.296626
979	1.174375	0.901359
980	0.856378	0.91176
981	0.983411	1.230833
982	0.892694	0.984754
983	1.044211	1.1547
984	1.223118	1.001125
985	1.097137	1.189796
986	0.846612	1.074617
987	1.091476	0.860718
988	0.933505	0.84101
989	0.964414	1.059743
990	1.178014	0.979656
991	0.900003	1.043742
992	0.922247	0.840975
993	1.200323	1.103013
994	1.179583	1.178699
995	1.025943	0.854742
996	1.164209	0.956245
997	1.143696	1.061617
998	1.016637	1.080053
999	0.953692	0.781802
1000	1.042682	1.159121
1001	1.287084	0.993342
1002	1.13098	0.941545
1003	0.96481	1.084399
1004	0.911316	1.027273
1005	0.891033	1.038097
1006	1.074601	0.951535
1007	1.089965	0.96182
1008	1.207761	0.963144
