"count"	"b2a"	"b2b"
441	0.316062	-1.259353
442	0.036243	-0.832087
443	-0.180709	-0.854858
444	-0.068911	0.429173
445	-0.28927	0.679226
446	-0.003797	0.413116
447	0.202361	0.128412
448	-0.083417	0.667172
449	-0.033076	0.826911
450	0.606562	0.734483
451	0.570454	-0.180962
452	0.183433	0.176437
453	0.40959	-0.098019
454	0.83522	0.759981
455	0.725977	0.020623
456	-0.349105	0.495886
457	0.349891	-0.109836
458	0.321116	0.905121
459	1.261652	0.974731
460	0.10381	0.719741
461	0.409233	0.284296
462	0.834619	-0.301063
463	0.695879	0.714709
464	0.502574	-0.02725
465	0.172399	1.081493
466	0.422998	0.542034
467	0.769012	0.699592
468	0.040925	0.728229
469	0.508688	0.389763
470	0.518598	0.459243
471	1.213478	0.523696
472	0.809066	0.399625
473	0.535403	0.523326
474	0.465853	0.758881
475	-0.244049	0.168129
476	0.523498	0.092202
477	0.50909	0.799232
478	0.688567	1.014926
479	0.322053	0.208043
480	0.857166	-0.533476
481	0.380499	0.680798
482	0.642002	0.878455
483	0.485681	0.304629
484	0.744529	0.004699
485	0.632121	0.424681
486	0.472939	0.237596
487	0.867377	0.235527
488	0.855442	0.682138
489	0.952041	-0.213658
490	0.775177	-0.201534
491	-0.225237	0.706531
492	0.397079	0.637371
493	0.784374	0.834559
494	1.584994	0.046017
495	-0.257812	0.015543
496	0.809467	0.775279
497	0.775725	1.130439
498	1.389448	0.095284
499	0.693484	0.209521
500	1.040085	-0.185463
501	0.891553	-0.045711
502	1.105318	0.407183
503	0.178796	0.677984
504	0.54142	0.696025
505	0.394478	0.602529
506	0.550247	0.820721
507	0.945045	0.66324
508	-0.310137	0.047444
509	0.637551	-0.019
510	0.170649	0.009445
511	-0.110108	-0.034381
512	0.339897	0.950013
513	-0.01952	0.532653
514	0.219644	0.34998
515	0.350454	0.083811
516	0.506089	1.037804
517	0.495778	0.97033
518	0.816784	0.211989
519	0.926278	0.122257
520	0.294691	-0.057654
521	0.632289	0.447584
522	0.117163	0.516761
523	0.761423	0.549462
524	0.644347	0.768606
525	0.639094	-0.061925
526	0.769099	0.678389
527	1.062457	0.615623
528	0.362791	1.08488
529	0.518527	0.013442
530	0.728596	0.251475
531	0.202585	0.477584
532	0.300862	0.135223
533	0.286345	-0.020573
534	0.72301	0.288786
535	1.164214	0.304994
536	0.917906	0.397176
537	0.382492	-0.008331
538	0.09307	0.959198
539	0.216497	0.460005
540	-0.096711	0.317697
541	0.047352	0.08185
542	-0.014724	-0.151384
543	-0.028476	0.259073
544	0.410335	0.784328
545	0.300715	-0.02604
546	0.045588	0.45531
547	1.07346	1.140997
548	-0.026376	1.153777
549	0.656916	0.696558
550	0.456165	1.104386
551	0.269273	-0.139779
552	0.357373	0.322452
553	-0.047104	0.514361
554	0.585206	0.257083
555	0.264984	0.262863
556	0.577516	0.951367
557	0.641382	0.695051
558	0.718809	0.751314
559	0.671446	0.804705
560	0.124405	0.826195
561	0.911685	-0.090564
562	0.960088	0.778268
563	0.725206	-0.215212
564	0.37333	0.572237
565	0.763135	0.519895
566	0.844209	0.580723
567	0.645259	-0.308148
568	0.717004	-0.40004
569	0.377836	1.157241
570	0.400705	0.743038
571	-0.308692	0.882929
572	0.712582	0.76265
573	0.61313	0.306717
574	0.504163	0.884259
